full_name,short_name,abbreviation,enactment_year,repealed_by,category,regex_pattern
"Muslim Women (Protection of Rights on Divorce) Act, 1986","Muslim Women Protection of Rights Act","Muslim Women Act",1986,"","Family/Personal","(?i)\b(?:Muslim Women \(Protection of Rights on Divorce\) Act)\b"
"Indian Divorce Act, 1869","Indian Divorce Act","Divorce Act",1869,"","Family/Personal","(?i)\b(?:Indian Divorce Act(?:,\s*1869)?)\b"
"Industrial Disputes Act, 1947","Industrial Disputes Act","IDA",1947,"IR Code, 2020","Labour","(?i)\b(?:Industrial Disputes Act|I\.?D\.?\s*Act)\b"
"Factories Act, 1948","Factories Act","Factories Act",1948,"OSH Code, 2020","Labour","(?i)\b(?:Factories Act(?:,\s*1948)?)\b"
"Employees Compensation Act, 1923","Employees Compensation Act","ECA",1923,"Social Security Code, 2020","Labour","(?i)\b(?:Employees'? Compensation Act|Workmen'?s Compensation Act)\b"
"Payment of Gratuity Act, 1972","Payment of Gratuity Act","PGA",1972,"Social Security Code, 2020","Labour","(?i)\b(?:Payment of Gratuity Act)\b"
"Minimum Wages Act, 1948","Minimum Wages Act","MWA",1948,"Wages Code, 2019","Labour","(?i)\b(?:Minimum Wages Act(?:,\s*1948)?)\b"
"Employees Provident Funds and Miscellaneous Provisions Act, 1952","Employees Provident Funds Act","EPF Act",1952,"Social Security Code, 2020","Labour","(?i)\b(?:Employees'? Provident Funds.*?Act|E\.?P\.?F\.?\s*Act)\b"
"Code on Wages, 2019","Code on Wages","Wages Code",2019,"","Labour","(?i)\b(?:Code on Wages(?:,\s*2019)?)\b"
"Industrial Relations Code, 2020","Industrial Relations Code","IR Code",2020,"","Labour","(?i)\b(?:Industrial Relations Code(?:,\s*2020)?)\b"
"Occupational Safety, Health and Working Conditions Code, 2020","Occupational Safety Health Code","OSH Code",2020,"","Labour","(?i)\b(?:Occupational Safety.*?Working Conditions Code|OSH Code)\b"
"Code on Social Security, 2020","Code on Social Security","Social Security Code",2020,"","Labour","(?i)\b(?:Code on Social Security(?:,\s*2020)?)\b"
"Income-tax Act, 1961","Income-tax Act","IT Act (Tax)",1961,"","Taxation","(?i)\b(?:Income[- ]tax Act(?:,\s*1961)?|I\.?T\.?\s*Act\s*\(Tax\))\b"
"Central Goods and Services Tax Act, 2017","Central GST Act","CGST Act",2017,"","Taxation","(?i)\b(?:C\.?G\.?S\.?T\.?\s*Act|Central Goods and Services Tax Act)\b"
"Integrated Goods and Services Tax Act, 2017","Integrated GST Act","IGST Act",2017,"","Taxation","(?i)\b(?:I\.?G\.?S\.?T\.?\s*Act|Integrated Goods and Services Tax Act)\b"
"Customs Act, 1962","Customs Act","Customs Act",1962,"","Taxation/Customs","(?i)\b(?:Customs Act(?:,\s*1962)?)\b"
"Central Excise Act, 1944","Central Excise Act","Central Excise Act",1944,"","Taxation/Excise","(?i)\b(?:Central Excise Act(?:,\s*1944)?)\b"
"Foreign Exchange Management Act, 1999","Foreign Exchange Management Act","FEMA",1999,"","Financial/Economic","(?i)\b(?:F\.?E\.?M\.?A\.?(?:\s*Act)?|Foreign Exchange Management Act)\b"
"Foreign Exchange Regulation Act, 1973","Foreign Exchange Regulation Act","FERA",1973,"FEMA, 1999","Financial/Economic","(?i)\b(?:F\.?E\.?R\.?A\.?(?:\s*Act)?|Foreign Exchange Regulation Act)\b"
"Copyright Act, 1957","Copyright Act","Copyright Act",1957,"","IPR","(?i)\b(?:Copyright Act(?:,\s*1957)?)\b"
"Patents Act, 1970","Patents Act","Patents Act",1970,"","IPR","(?i)\b(?:Patents Act(?:,\s*1970)?)\b"
"Trade Marks Act, 1999","Trade Marks Act","TMA",1999,"","IPR","(?i)\b(?:Trade Marks Act(?:,\s*1999)?|Trade and Merchandise Marks Act)\b"
"Geographical Indications of Goods (Registration and Protection) Act, 1999","Geographical Indications Act","GI Act",1999,"","IPR","(?i)\b(?:Geographical Indications.*?Act|G\.?I\.?\s*Act)\b"
"Designs Act, 2000","Designs Act","Designs Act",2000,"","IPR","(?i)\b(?:Designs Act(?:,\s*2000)?)\b"
"Environment (Protection) Act, 1986","Environment Protection Act","EPA",1986,"","Environmental","(?i)\b(?:Environment\s*\(\s*Protection\s*\)\s*Act|E\.?P\.?A\.?(?:\s*Act)?)\b"
"Water (Prevention and Control of Pollution) Act, 1974","Water Pollution Act","Water Act",1974,"","Environmental","(?i)\b(?:Water\s*\(\s*Prevention and Control of Pollution\s*\)\s*Act|Water Act(?:,\s*1974)?)\b"
"Air (Prevention and Control of Pollution) Act, 1981","Air Pollution Act","Air Act",1981,"","Environmental","(?i)\b(?:Air\s*\(\s*Prevention and Control of Pollution\s*\)\s*Act|Air Act(?:,\s*1981)?)\b"
"National Green Tribunal Act, 2010","National Green Tribunal Act","NGT Act",2010,"","Environmental","(?i)\b(?:National Green Tribunal Act|N\.?G\.?T\.?\s*Act)\b"
"Forest (Conservation) Act, 1980","Forest Conservation Act","FCA",1980,"","Environmental","(?i)\b(?:Forest\s*\(\s*Conservation\s*\)\s*Act|F\.?C\.?A\.?(?:\s*Act)?)\b"
"Wildlife (Protection) Act, 1972","Wildlife Protection Act","WPA",1972,"","Environmental","(?i)\b(?:Wildlife\s*\(\s*Protection\s*\)\s*Act|W\.?P\.?A\.?(?:\s*Act)?)\b"
"Right to Information Act, 2005","Right to Information Act","RTI Act",2005,"","Administrative","(?i)\b(?:Right to Information Act|R\.?T\.?I\.?\s*Act)\b"
"Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013","Land Acquisition Act 2013","RFCTLARR / LARR",2013,"","Property/Administrative","(?i)\b(?:RFCTLARR|Land Acquisition Act(?:,\s*2013)?|Right to Fair Compensation.*?Act)\b"
"Land Acquisition Act, 1894","Land Acquisition Act, 1894","Land Acquisition Act 1894",1894,"RFCTLARR, 2013","Property/Administrative","(?i)\b(?:Land Acquisition Act(?:,\s*1894)?)\b"
"Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002","SARFAESI Act","SARFAESI",2002,"","Banking/Financial","(?i)\b(?:S\.?A\.?R\.?F\.?A\.?E\.?S\.?I\.?(?:\s*Act)?|Securitisation and Reconstruction of Financial Assets.*?Act)\b"
"Recovery of Debts and Bankruptcy Act, 1993","Recovery of Debts Due to Banks Act","RDBA / DRT Act",1993,"","Banking/Financial","(?i)\b(?:Recovery of Debts Due to Banks.*?Act|RDBA|DRT Act)\b"
"Banking Regulation Act, 1949","Banking Regulation Act","BRA",1949,"","Banking","(?i)\b(?:Banking Regulation Act(?:,\s*1949)?)\b"
"Reserve Bank of India Act, 1934","Reserve Bank of India Act","RBI Act",1934,"","Banking","(?i)\b(?:Reserve Bank of India Act|R\.?B\.?I\.?\s*Act)\b"
"Securities and Exchange Board of India Act, 1992","SEBI Act","SEBI Act",1992,"","Financial/Securities","(?i)\b(?:S\.?E\.?B\.?I\.?\s*Act|Securities and Exchange Board of India Act)\b"
"Customs Tariff Act, 1975","Customs Tariff Act","Customs Tariff Act",1975,"","Taxation/Customs","(?i)\b(?:Customs Tariff Act(?:,\s*1975)?)\b"
"Central Sales Tax Act, 1956","Central Sales Tax Act","CST Act",1956,"CGST/IGST, 2017","Taxation","(?i)\b(?:Central Sales Tax Act|C\.?S\.?T\.?\s*Act)\b"
"Foreign Contribution (Regulation) Act, 2010","FCRA 2010","FCRA",2010,"","Administrative/Financial","(?i)\b(?:F\.?C\.?R\.?A\.?(?:\s*Act)?|Foreign Contribution\s*\(\s*Regulation\s*\)\s*Act)\b"
"Passport Act, 1967","Passports Act","Passports Act",1967,"","Administrative","(?i)\b(?:Passports? Act(?:,\s*1967)?)\b"
"Prisons Act, 1894","Prisons Act","Prisons Act",1894,"","Criminal/Penology","(?i)\b(?:Prisons Act(?:,\s*1894)?)\b"
"Probation of Offenders Act, 1958","Probation of Offenders Act","Probation of Offenders Act",1958,"","Criminal/Penology","(?i)\b(?:Probation of Offenders Act(?:,\s*1958)?)\b"
"Legal Services Authorities Act, 1987","Legal Services Authorities Act","LSAA",1987,"","Judicial/Administrative","(?i)\b(?:Legal Services Authorities Act|L\.?S\.?A\.?\s*Act)\b"
"Advocates Act, 1961","Advocates Act","Advocates Act",1961,"","Legal Profession","(?i)\b(?:Advocates Act(?:,\s*1961)?)\b"
"Contempt of Courts Act, 1971","Contempt of Courts Act","Contempt of Courts Act",1971,"","Judicial","(?i)\b(?:Contempt of Courts Act(?:,\s*1971)?)\b"
"Court Fees Act, 1870","Court Fees Act","Court Fees Act",1870,"","Judicial/Revenue","(?i)\b(?:Court[- ]Fees Act(?:,\s*1870)?)\b"
"Suits Valuation Act, 1887","Suits Valuation Act","Suits Valuation Act",1887,"","Judicial/Civil","(?i)\b(?:Suits Valuation Act(?:,\s*1887)?)\b"
"Registration Act, 1908","Registration Act","Registration Act",1908,"","Property/Registration","(?i)\b(?:Registration Act(?:,\s*1908)?)\b"
"Indian Stamp Act, 1899","Indian Stamp Act","Stamp Act",1899,"","Revenue/Civil","(?i)\b(?:Indian Stamp Act|Stamp Act(?:,\s*1899)?)\b"
"Indian Trusts Act, 1882","Indian Trusts Act","Trusts Act",1882,"","Civil/Equity","(?i)\b(?:Indian Trusts Act|Trusts Act(?:,\s*1882)?)\b"
"Indian Succession Act, 1925","Indian Succession Act","Succession Act",1925,"","Family/Succession","(?i)\b(?:Indian Succession Act(?:,\s*1925)?)\b"
"Electricity Act, 2003","Electricity Act","Electricity Act",2003,"","Energy/Administrative","(?i)\b(?:Electricity Act(?:,\s*2003)?)\b"
"Mines and Minerals (Development and Regulation) Act, 1957","MMDR Act","MMDR Act",1957,"","Mining/Natural Resources","(?i)\b(?:M\.?M\.?D\.?R\.?\s*Act|Mines and Minerals.*?Act)\b"
"Disaster Management Act, 2005","Disaster Management Act","DMA",2005,"","Administrative/Emergency","(?i)\b(?:Disaster Management Act(?:,\s*2005)?|D\.?M\.?\s*Act)\b"
"Epidemic Diseases Act, 1897","Epidemic Diseases Act","Epidemic Diseases Act",1897,"","Health/Public Safety","(?i)\b(?:Epidemic Diseases Act(?:,\s*1897)?)\b"
"National Investigation Agency Act, 2008","NIA Act","NIA Act",2008,"","Special Criminal/Security","(?i)\b(?:N\.?I\.?A\.?\s*Act|National Investigation Agency Act)\b"
"Armed Forces (Special Powers) Act, 1958","AFSPA","AFSPA",1958,"","Special Criminal/Defense","(?i)\b(?:A\.?F\.?S\.?P\.?A\.?(?:\s*Act)?|Armed Forces\s*\(\s*Special Powers\s*\)\s*Act)\b"
"Central Vigilance Commission Act, 2003","CVC Act","CVC Act",2003,"","Administrative/Vigilance","(?i)\b(?:C\.?V\.?C\.?\s*Act|Central Vigilance Commission Act)\b"
"Lokpal and Lokayuktas Act, 2013","Lokpal Act","Lokpal Act",2013,"","Anti-Corruption","(?i)\b(?:Lokpal and Lokayuktas Act|Lokpal Act)\b"
"Surrogacy (Regulation) Act, 2021","Surrogacy Act","Surrogacy Act",2021,"","Health/Family","(?i)\b(?:Surrogacy\s*\(\s*Regulation\s*\)\s*Act)\b"
"Medical Termination of Pregnancy Act, 1971","MTP Act","MTP Act",1971,"","Health","(?i)\b(?:Medical Termination of Pregnancy Act|M\.?T\.?P\.?\s*Act)\b"
"Mental Healthcare Act, 2017","Mental Healthcare Act","Mental Healthcare Act",2017,"","Health/Human Rights","(?i)\b(?:Mental Healthcare Act(?:,\s*2017)?)\b"
